customer_city,customer_id,lat_x,lon_x,zip_code_prefix_x,customer,seller_id,order_id,delivery_speed,seller_city,lat_y,lon_y,zip_code_prefix_y,seller,seller_location,customer_location
alambari,48809a65c8830c54c2316d6a15e6b8da,-23.561571066058445,-47.88510054852835,18220,83133,01fdefa7697d26ad920e9e0346d4bd1b,893fff1e0e8a0597923ff86966aac6d1,4.0,londrina,-23.318378591672754,-51.16255151516641,86050.0,1194.0,POINT (-51.16255151516641 -23.318378591672754),POINT (-47.88510054852835 -23.561571066058445)
alcobaca,45742477c326bf68df61971f1b7792c3,-17.51014442862304,-39.23413767321622,45910,46193,17306570e772e7718c92a562d33f5f1d,b8f6c1f24bcd15ca5eb715c85b0abc29,23.0,bariri,-22.074148535297056,-48.74036120641809,17250.0,2643.0,POINT (-48.74036120641809 -22.074148535297056),POINT (-39.23413767321622 -17.51014442862304)
alegre,22920e925fcbdd68ef776651f8c53cc3,-20.761299711200177,-41.534755315079884,29500,3779,a1043bafd471dff536d0c462352beb48,249e44947c66e3b0e46b3ba2f38d846d,7.0,ilicinea,-20.940711526524826,-45.82719542395004,37175.0,2747.0,POINT (-45.82719542395004 -20.940711526524826),POINT (-41.534755315079884 -20.761299711200177)
alfredo marcondes,9722587eb1c172a4072889c0c06654f6,-21.9544225372067,-51.41597855181986,19180,19597,a1043bafd471dff536d0c462352beb48,f2a2bd7aa9e2c2b51ff415ce646587ae,15.0,ilicinea,-20.940711526524826,-45.82719542395004,37175.0,2747.0,POINT (-45.82719542395004 -20.940711526524826),POINT (-51.41597855181986 -21.9544225372067)
alhandra,77e0e2987754751f359ba128d6cfa606,-7.433968779567003,-34.910447698646784,58320,46269,712e6ed8aa4aa1fa65dab41fed5737e4,b1bbf1459cd5cbb3c23aad7656250ced,26.0,videira,-27.004522453378566,-51.152808530844105,89560.0,2227.0,POINT (-51.152808530844105 -27.004522453378566),POINT (-34.910447698646784 -7.433968779567003)
alpestre,95462f6d1cb366ce19620fa03dfe0cc4,-27.250270356865872,-53.03589689018164,98480,90644,01fdefa7697d26ad920e9e0346d4bd1b,a1a26fd368e8d98c468ecd201ea55af8,12.0,londrina,-23.318378591672754,-51.16255151516641,86050.0,1194.0,POINT (-51.16255151516641 -23.318378591672754),POINT (-53.03589689018164 -27.250270356865872)
alto alegre,6778ad70beba8e6b7e8f7fef2a2299de,-24.858814717646492,-52.25528737612796,99430,73604,259f7b5e6e482c230e5bfaa670b6bb8f,61f73b79dabd51f9b838574822c650f9,17.0,poa,-23.521983064965852,-46.341077825089386,8550.0,471.0,POINT (-46.341077825089386 -23.521983064965852),POINT (-52.25528737612796 -24.858814717646492)
alto alegre do maranhao,bf84e7f1cf36cd90c6f27186dc787abd,-4.214134911794691,-44.44951278413494,65413,6517,0df3984f9dfb3d49ac6366acbd3bbb85,a02c551c16a4f354b94361e1c6e0e283,8.0,betim,-19.947349446576954,-44.17501478946979,32604.0,1415.0,POINT (-44.17501478946979 -19.947349446576954),POINT (-44.44951278413494 -4.214134911794691)
alto alegre do pindare,14afd6611044699b2f2f2afe32af6cc5,-3.701581302872117,-45.8570810629906,65398,54601,12b9676b00f60f3b700e83af21824c0e,5288a5c8ebb19306a1564b85ddb068f0,9.0,montenegro,-29.688238317970825,-51.4687297294334,95780.0,1025.0,POINT (-51.4687297294334 -29.688238317970825),POINT (-45.8570810629906 -3.701581302872117)
alto garcas,573b52edbe089b1124b9ab66535e07d6,-16.945662758484527,-53.531709573548625,78770,22615,12b9676b00f60f3b700e83af21824c0e,5b8ee358a856b984447f8fab66c798cc,20.0,montenegro,-29.688238317970825,-51.4687297294334,95780.0,1025.0,POINT (-51.4687297294334 -29.688238317970825),POINT (-53.531709573548625 -16.945662758484527)
alto rio doce,03e6182153ba8bbdff8a0236ee161c8f,-21.023139419639094,-43.41272948337939,36260,17576,37515688008a7a40ac93e3b2e4ab203f,c99ca23474e04e001665cd9439b59dca,11.0,dracena,-21.486683807888387,-51.53395507459642,17900.0,2622.0,POINT (-51.53395507459642 -21.486683807888387),POINT (-43.41272948337939 -21.023139419639094)
alto rio novo,5692fbc657396192e5fc13d68909c77a,-19.058137575204128,-41.01880028801369,29760,76746,3d871de0142ce09b7081e2b9d1733cb1,2f8691a66c1a37780996a2479e8bea62,12.0,campo limpo paulista,-23.211861520675228,-46.76228778069986,13232.0,2346.0,POINT (-46.76228778069986 -23.211861520675228),POINT (-41.01880028801369 -19.058137575204128)
america dourada,48f8c4f0545adf1581cc6c077b7b88f3,-11.45534706517941,-41.45792194795551,44910,63078,1f9ab4708f3056ede07124aad39a2554,c91097d5f017e8117c4930db4bc51c66,44.0,tupa,-21.93584016874602,-50.51329887609122,17602.0,36.0,POINT (-50.51329887609122 -21.93584016874602),POINT (-41.45792194795551 -11.45534706517941)
ametista do sul,6e83cb3151777d36475c5b2dc6790e11,-27.366618487581068,-53.17761054673636,98465,3794,12b9676b00f60f3b700e83af21824c0e,9e929678356c7476ba7a7f94d9715062,4.0,montenegro,-29.688238317970825,-51.4687297294334,95780.0,1025.0,POINT (-51.4687297294334 -29.688238317970825),POINT (-53.17761054673636 -27.366618487581068)
andarai,3cea18522d4d87f0397edbbbc5ce28e0,-12.79378975081371,-41.29465342303002,46830,38719,d93919c944be9cff128f6c9cb899eacb,3d0e84aa6695f156f958a00ca2a2745b,16.0,mombuca,-20.56936647541443,-46.02311914850127,13375.0,481.0,POINT (-46.02311914850127 -20.56936647541443),POINT (-41.29465342303002 -12.79378975081371)
andira,27c6db37b1f4e91aa4a4c1644b904799,-23.048557365215235,-50.23049478428884,86380,77822,01cf7e3d21494c41fb86034f2e714fa1,d0714b92348bdff5af0cabf84ae6c2c0,8.0,francisco beltrao,-26.063301674754463,-53.05526536488769,85603.0,423.0,POINT (-53.05526536488769 -26.063301674754463),POINT (-50.23049478428884 -23.048557365215235)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrelandia,6375f48d885428bd1c84628e80583a8f,-21.739642931038333,-44.30976445950927,37300,37306,5a93f3ab0ef4c84ed5e1b5dbf23978bc,c9078b2ce6167917416ddd9b7c40b5f5,16.0,monteiro lobato,-22.95371488210672,-45.839550230520295,12250.0,413.0,POINT (-45.839550230520295 -22.95371488210672),POINT (-44.30976445950927 -21.739642931038333)
andrequice,0f3c4578cc4133c0e29cf96d0709d28d,-18.25622999999996,-45.06661999999994,39207,30127,4869f7a5dfa277a7dca6462dcf3b52b2,5edc8e0c1ae7714730b6be87e97da686,18.0,guariba,-21.36347334469748,-48.2295879769369,14840.0,2618.0,POINT (-48.2295879769369 -21.36347334469748),POINT (-45.06661999999994 -18.25622999999996)
anguera,075b39e18f6c41df500a6ae613a735da,-12.150150399595153,-39.24608673614469,44670,80896,001cca7ae9ae17fb1caed9dfb1094831,99a50db34d17b1f845a8ea04de3e747d,8.0,cariacica,-20.301260880441404,-40.394696907072586,29156.0,1110.0,POINT (-40.394696907072586 -20.301260880441404),POINT (-39.24608673614469 -12.150150399595153)
anita garibaldi,043d7293671e5f243dd648d9e5d1f396,-27.6870849887108,-51.128215610104334,88590,45825,06a2c3af7b3aee5d69171b0e14f0ee87,dac5565e9e4cc5f3bd66470ed608c95c,12.0,sao luis,-2.503157606634558,-44.24938912079653,65072.0,1931.0,POINT (-44.24938912079653 -2.503157606634558),POINT (-51.128215610104334 -27.6870849887108)
antonina,3ba36f79e706c3402e5959eb12a8d661,-25.43466401233266,-48.7129743800851,83370,8079,01fdefa7697d26ad920e9e0346d4bd1b,64bfc8cd9379c2da1d2abd37c2adf65a,4.0,londrina,-23.318378591672754,-51.16255151516641,86050.0,1194.0,POINT (-51.16255151516641 -23.318378591672754),POINT (-48.7129743800851 -25.43466401233266)
antonio goncalves,b2c9e4e33013d7ebd1fe68e94efc16d7,-10.572356542799392,-40.275946409932025,44780,50295,0ea22c1cfbdc755f86b9b54b39c16043,f3e92f44e615fe19fd17a8c517224040,6.0,sete lagoas,-19.458191844684535,-44.24378281508432,35700.0,2216.0,POINT (-44.24378281508432 -19.458191844684535),POINT (-40.275946409932025 -10.572356542799392)
antonio prado de minas,62c48c7669b205d2b76a4b0cf96f7869,-21.016353231944873,-42.1144024694272,36850,27805,3d871de0142ce09b7081e2b9d1733cb1,d59576da0f17d86f09c7bd7dba50cf56,11.0,campo limpo paulista,-23.211861520675228,-46.76228778069986,13232.0,2346.0,POINT (-46.76228778069986 -23.211861520675228),POINT (-42.1144024694272 -21.016353231944873)
aparecida d'oeste,615186aa8a5e60ec87fa86010f582551,-20.453714282706738,-50.88294720407824,15735,23409,37515688008a7a40ac93e3b2e4ab203f,05d7aaa733ad65477075a3b5bf0f1017,5.0,dracena,-21.486683807888387,-51.53395507459642,17900.0,2622.0,POINT (-51.53395507459642 -21.486683807888387),POINT (-50.88294720407824 -20.453714282706738)
apora,b9d6a058e30a927c653a4d74412921ab,-13.4688355351923,-39.240259895855324,48355,74928,392e0502231ae2f8b29994ef6398cd77,de969b697705a8e3239d2f760c644c8a,43.0,cerqueira cesar,-23.03401382196383,-49.16277608958894,18760.0,1637.0,POINT (-49.16277608958894 -23.03401382196383),POINT (-39.240259895855324 -13.4688355351923)
apore,88ddedb9f546eb4ac5ab7e2ceceb8cfb,-18.962628411703154,-51.92694163039694,75825,5349,d25aa0aaacb370e912f8cf6efeba38b3,d4863946c55e209d189f5ee4e420bc9c,8.0,massaranduba,-26.60877921690227,-49.000830281288955,89108.0,2547.0,POINT (-49.000830281288955 -26.60877921690227),POINT (-51.92694163039694 -18.962628411703154)
apuiares,1d337e14df05fcfbae4c24fdbe93c9ba,-3.9469769287258267,-39.43159708945027,62630,47859,c3867b4666c7d76867627c2f7fb22e21,62feb97e08fa0615b190edb7e35e6f2a,24.0,guara,-20.432067568936827,-47.82429415688505,14580.0,1303.0,POINT (-47.82429415688505 -20.432067568936827),POINT (-39.43159708945027 -3.9469769287258267)
aquidaba,302b06db224fdf184b7815e96b72d9bc,-10.284582479280342,-37.019314628867455,49790,8687,3d871de0142ce09b7081e2b9d1733cb1,300acffc653419f09eea9de45afa0460,23.0,campo limpo paulista,-23.211861520675228,-46.76228778069986,13232.0,2346.0,POINT (-46.76228778069986 -23.211861520675228),POINT (-37.019314628867455 -10.284582479280342)
aracuai,15de0ec010b2ebd460855dfffeaa9845,-16.88745420490822,-42.094797379213716,39600,99181,1554a68530182680ad5c8b042c3ab563,0ee55c31a39d19fd857c0c8a80b2001f,18.0,monte siao,-22.43061273369082,-46.57334084810494,37580.0,524.0,POINT (-46.57334084810494 -22.43061273369082),POINT (-42.094797379213716 -16.88745420490822)
aragoiania,d2381384b32c3ea2127ff775858a3fea,-16.9108367677532,-49.44976584906477,75360,14253,4869f7a5dfa277a7dca6462dcf3b52b2,2f2bc2963a401290d92ba5b49f52f98f,15.0,guariba,-21.36347334469748,-48.2295879769369,14840.0,2618.0,POINT (-48.2295879769369 -21.36347334469748),POINT (-49.44976584906477 -16.9108367677532)
araguana,4dbd23fc431225ba2ef01b343523afe6,-2.9505096665532773,-45.66542619168681,65368,84536,a1043bafd471dff536d0c462352beb48,a9f3eefeba2b707e39dfc81dea76cb3a,15.0,ilicinea,-20.940711526524826,-45.82719542395004,37175.0,2747.0,POINT (-45.82719542395004 -20.940711526524826),POINT (-45.66542619168681 -2.9505096665532773)
araguatins,22b1e52ebdb7c825e37f73f392a33f95,-5.650552655953402,-48.1207008125323,77950,49208,4677a5437afda5fa7140b927b07be1cc,2542b194855edd1820173c2f2cf22e9c,15.0,japira,-23.812156076337978,-50.14033915045725,84920.0,719.0,POINT (-50.14033915045725 -23.812156076337978),POINT (-48.1207008125323 -5.650552655953402)
arandu,33b7695371b6758680afe0f96bc53d40,-23.13632139681524,-49.05416446679174,18710,78442,6b89abe95848c850399130d149a39b63,7470539f5035ecb8d54ba3376ba09487,8.0,piracanjuba,-17.303261316453252,-49.02591416605261,75640.0,341.0,POINT (-49.02591416605261 -17.303261316453252),POINT (-49.05416446679174 -23.13632139681524)
araputanga,030f8728859c2cfa3a4ec60388f43f16,-15.469617545229632,-58.347526914509444,78260,93782,96804ea39d96eb908e7c3afdb671bb9e,3ce61878d5eed0865d51e364fdd01ac2,15.0,ibia,-19.492679995904062,-46.54748864208533,38950.0,2445.0,POINT (-46.54748864208533 -19.492679995904062),POINT (-58.347526914509444 -15.469617545229632)
arara,1e7f26bfc1b72023a4e9b1800f281912,-6.8277176355033395,-35.76039334973399,58396,42377,0c8380b62e38e8a1e6adbeba7eb9688c,ffcbf9b4459704e9185c5c630d11b69c,12.0,tres coracoes,-21.693233185375103,-45.259366066052195,37410.0,116.0,POINT (-45.259366066052195 -21.693233185375103),POINT (-35.76039334973399 -6.8277176355033395)
ararangua,06db786002c0a85b36bdaca70b9fb4fe,-28.94240947736542,-49.48696299629801,88901,39739,3d871de0142ce09b7081e2b9d1733cb1,7e72165c5aea9996c625cfe62c8e1500,15.0,campo limpo paulista,-23.211861520675228,-46.76228778069986,13232.0,2346.0,POINT (-46.76228778069986 -23.211861520675228),POINT (-49.48696299629801 -28.94240947736542)
arceburgo,1f05354f6eaada5453b292bee372b797,-21.364023098913517,-46.93974204707032,37820,68953,57e632711dec9ec14ca7546769483e7e,310436570f7bf5ca58ec0500d633aea8,14.0,navegantes,-26.875243402471057,-48.6485641112122,88372.0,2694.0,POINT (-48.6485641112122 -26.875243402471057),POINT (-46.93974204707032 -21.364023098913517)
areia branca,062e9e44f1ded5f24b2c5839423d8446,-4.9561680843820906,-37.12781857615183,59655,67873,55a5b51f93f2b70ea513f5a047b0262a,4cf7e2d60f3f4ed58f0e1ee3a78c6e81,7.0,sao joao del rei,-21.128990534877282,-44.256339231497066,36301.0,659.0,POINT (-44.256339231497066 -21.128990534877282),POINT (-37.12781857615183 -4.9561680843820906)
areial,18fe01502f6161167cc115274c79bdc4,-7.048617955582523,-35.92421174107332,58140,30807,4869f7a5dfa277a7dca6462dcf3b52b2,1e4e642a89cc3c4bdbc8b9ac6299616a,32.0,guariba,-21.36347334469748,-48.2295879769369,14840.0,2618.0,POINT (-48.2295879769369 -21.36347334469748),POINT (-35.92421174107332 -7.048617955582523)
